,title,type,link
0,Dixieland Jass Band One-Step / Livery Stable Blues,Single,https://rateyourmusic.com/release/single/original-dixieland-jass-band/dixieland-jass-band-one-step-livery-stable-blues/
1,Slippery Hank / Yah-De-Dah,Single,https://rateyourmusic.com/release/single/earl-fullers-famous-jazz-band/slippery-hank-yah-de-dah/
2,"Johnson ""Jas"" Blues",Single,https://rateyourmusic.com/release/single/frisco-jass-band/johnson-jas-blues/
3,Darktown Strutters' Ball / Indiana,Single,https://rateyourmusic.com/release/single/original-dixieland-jass-band/darktown-strutters-ball-indiana/
4,Night Time in Little Italy,Single,https://rateyourmusic.com/release/single/frisco-jazz-band/night-time-in-little-italy/
5,Pozzo One-Step,Single,https://rateyourmusic.com/release/single/frisco-jass-band/pozzo-one-step/
6,Canary Cottage / Daly's Reel,Single,https://rateyourmusic.com/release/single/frisco-jass-band-van-eps-banjo-orchestra/canary-cottage-dalys-reel/
7,Li'l' Liza Jane / Coon Band Contest,Single,https://rateyourmusic.com/release/single/earl-fullers-famous-jazz-band/lil-liza-jane-coon-band-contest/
8,Yah-De-Dah,Single,https://rateyourmusic.com/release/single/frisco-jass-band/yah-de-dah/
9,Some Jazz Blues / He's Just Like You,Single,https://rateyourmusic.com/release/single/memphis-pickaninny-band-pathe-dance-orchestra/some-jazz-blues-hes-just-like-you/
10,Cute Little Wigglin' Dance,Single,https://rateyourmusic.com/release/single/frisco-jass-band/cute-little-wigglin-dance/
11,Ida! Sweet as Apple Cider / More Candy,Single,https://rateyourmusic.com/release/single/earl-fullers-rector-novelty-orchestra/ida-sweet-as-apple-cider-more-candy/
12,At the Jass Band Ball / Barnyard Blues,Single,https://rateyourmusic.com/release/single/original-dixieland-jass-band/at-the-jass-band-ball-barnyard-blues/
13,Ostrich Walk / Tiger Rag,Single,https://rateyourmusic.com/release/single/original-dixieland-jass-band/ostrich-walk-tiger-rag/
14,Look at 'Em Doing It Now / Reisenweber Rag,Single,https://rateyourmusic.com/release/single/original-dixieland-jazz-band/look-at-em-doing-it-now-reisenweber-rag/
15,All I Need Is Just a Girl Like You,Single,https://rateyourmusic.com/release/single/frisco-jass-band/all-i-need-is-just-a-girl-like-you/
16,Jazzie Addie / Goulash,Single,https://rateyourmusic.com/release/single/yerkes_jazzarimba_orchestra/jazzie_addie___goulash/
17,Dixieland Memories No.2,Single,https://rateyourmusic.com/release/single/orpheus-male-chorus/dixieland-memories-no_2/
18,That's It,Single,https://rateyourmusic.com/release/single/frisco-jass-band/thats-it/
19,Darktown Strutters' Ball,Single,https://rateyourmusic.com/release/single/jaudas-society-orchestra/darktown-strutters-ball/
20,The Darktown Strutters' Ball,Single,https://rateyourmusic.com/release/single/premier-quartet/the-darktown-strutters-ball/
21,"Graveyard Blues / Sweet Emalina, My Gal",Single,https://rateyourmusic.com/release/single/earl-fullers-rector-novelty-orchestra/graveyard-blues-sweet-emalina-my-gal/
22,At the Jazz Band Ball / Ostrich Walk,Single,https://rateyourmusic.com/release/single/original-dixieland-jazz-band/at-the-jazz-band-ball-ostrich-walk/
23,"Umbrellas to Mend / Johnson ""Jass"" Blues",Single,https://rateyourmusic.com/release/single/frisco-jass-band/umbrellas-to-mend-johnson-jass-blues/
24,Everybody's Crazy 'Bout the Doggone Blues But I'm Happy / Regretful Blues,Single,https://rateyourmusic.com/release/single/wilbur-c-sweatmans-original-jazz-band/everybodys-crazy-bout-the-doggone-blues-but-im-happy-regretful-blues/
25,Skeleton Jangle / Tiger Rag,Single,https://rateyourmusic.com/release/single/original-dixieland-jazz-band/skeleton-jangle-tiger-rag/
26,Jazbo Jazz - One-Step,Single,https://rateyourmusic.com/release/single/earl-fullers-famous-jazz-band/jazbo-jazz-one-step/
27,Bluin' the Blues / Sensation Rag,Single,https://rateyourmusic.com/release/single/original-dixieland-jazz-band/bluin-the-blues-sensation-rag/
28,When Alexander Takes His Ragtime Band to France / I'm Gonna Pin My Medal on the Girl I Left Behind,Single,https://rateyourmusic.com/release/single/marion-harris-peerless-quartet/when-alexander-takes-his-ragtime-band-to-france-im-gonna-pin-my-medal-on-the-girl-i-left-behind/
29,Jazzin' Around,Single,https://rateyourmusic.com/release/single/earl-fullers-famous-jazz-band/jazzin-around/
30,Jazzbo Jazz / Jazz Deluxe,Single,https://rateyourmusic.com/release/single/earl-fullers-famous-jazz-band/jazzbo-jazz-jazz-deluxe/
31,The Darktown Strutters' Ball / Good-Bye Alexander,Single,https://rateyourmusic.com/release/single/wilber-c-sweatmans-original-jazz-band/the-darktown-strutters-ball-good-bye-alexander/
32,The Jazz Dance / Jazzin' Around,Single,https://rateyourmusic.com/release/single/blakes-jazzone-orchestra-morse-and-frankel/the-jazz-dance-jazzin-around/
33,Indianola / Oh! You La! La!,Single,https://rateyourmusic.com/release/single/wilber-c-sweatmans-original-jazz-band/indianola-oh-you-la-la/
34,Mournin' Blues / Clarinet Marmalade Blues,Single,https://rateyourmusic.com/release/single/original-dixieland-jazz-band/mournin-blues-clarinet-marmalade-blues/
35,Has Anybody Seen My Corinne? / Dallas Blues,Single,https://rateyourmusic.com/release/single/wilbur-sweatmans-original-jazz-band/has-anybody-seen-my-corinne-dallas-blues/
36,Slim Trombone / Ev'rybody Shimmies Now,Single,https://rateyourmusic.com/release/single/synco-jazz-band/slim-trombone-evrybody-shimmies-now/
37,Toreador Humoresque / At the Jazz Band Ball,Single,https://rateyourmusic.com/release/single/synco-jazz-band/toreador-humoresque-at-the-jazz-band-ball/
38,"Ja-Da Medley / He's Had No Loving for a Long, Long Time",Single,https://rateyourmusic.com/release/single/original-new-orleans-jazz-band/ja-da-medley-hes-had-no-loving-for-a-long-long-time/
39,Just Blue / Smiles,Single,https://rateyourmusic.com/release/single/jaudas-society-orchestra-all-star-trio/just-blue-smiles/
40,Barnyard Blues / At the Jazz Band Ball,Single,https://rateyourmusic.com/release/single/the-dixieland-jazz-band/barnyard-blues-at-the-jazz-band-ball/
41,Ostrich Walk / Sensation Rag,Single,https://rateyourmusic.com/release/single/the-dixieland-jazz-band/ostrich-walk-sensation-rag/
42,Look at 'em Doing It / Tiger Rag,Single,https://rateyourmusic.com/release/single/the-original-dixieland-jazz-band/look-at-em-doing-it-tiger-rag/
43,Ruspana / Sweet Siamese,Single,https://rateyourmusic.com/release/single/earl-fullers-rector-novelty-orchestra/ruspana-sweet-siamese/
44,My Baby's Arms / On the Streets of Cairo,Single,https://rateyourmusic.com/release/single/art_hickmans_orchestra/my_babys_arms___on_the_streets_of_cairo/
45,Patches / Sweet and Low,Single,https://rateyourmusic.com/release/single/art_hickmans_orchestra/patches___sweet_and_low/
46,Ja Da / Hindustan,Single,https://rateyourmusic.com/release/single/new-orleans-jazz-band-green-brothers-xylophone-orchestra/ja-da-hindustan/
47,Ole Miss / Egyptland,Single,https://rateyourmusic.com/release/single/new-orleans-jazz-band-green-brothers-xylophone-orchestra/ole-miss-egyptland/
48,Arabian Nights,Single,https://rateyourmusic.com/release/single/all-star-trio/arabian-nights/
49,Ringtail Blues / Bluin' the Blues,Single,https://rateyourmusic.com/release/single/wilbur-sweatmans-original-jazz-band/ringtail-blues-bluin-the-blues/
50,Heart Sickness Blues / Orange Blossom Rag,Single,https://rateyourmusic.com/release/single/louisiana-five/heart-sickness-blues-orange-blossom-rag/
51,Indigo Blues / Oriental Jazz,Single,https://rateyourmusic.com/release/single/dabneys-band-original-dixieland-jazz-band/indigo-blues-oriental-jazz/
52,Sensation Jazz - One Step,Single,https://rateyourmusic.com/release/single/all-star-trio/sensation-jazz-one-step/
53,Darktown Strutters' Ball / Indianola,Single,https://rateyourmusic.com/release/single/lieut-jim-europes-369th-u_s-inf-hell-fighters-band/darktown-strutters-ball-indianola/
54,"Broadway ""Hit"" Medley / Ja-Da",Single,https://rateyourmusic.com/release/single/lieut-jim-europes-369th-u_s-inf-hell-fighters-band/broadway-hit-medley-ja-da/
55,That Moaning Trombone / Memphis Blues,Single,https://rateyourmusic.com/release/single/lieut-jim-europes-369th-u_s-inf-hell-fighters-band/that-moaning-trombone-memphis-blues/
56,Jazz Baby / When the Bees Make Honey,Single,https://rateyourmusic.com/release/single/creighton-thompson-lieut-noble-sissle/jazz-baby-when-the-bees-make-honey/
57,All of No Man's Land Is Ours / Jazzola,Single,https://rateyourmusic.com/release/single/lieut-noble-sissle-and-lieut-jim-europes-369th-u_s-inf-hell-fighters-band/all-of-no-mans-land-is-ours-jazzola/
58,Yama Yama Blues / Church St. Sobbin' Blues,Single,https://rateyourmusic.com/release/single/louisiana-five/yama-yama-blues-church-st-sobbin-blues/
59,Sand Dunes / Spaniola,Single,https://rateyourmusic.com/release/single/earl_fuller/sand_dunes___spaniola/
