,title,link
0,The Black Saint and the Sinner Lady,https://rateyourmusic.com/release/album/mingus/the-black-saint-and-the-sinner-lady/
1,A Love Supreme,https://rateyourmusic.com/release/album/john-coltrane/a-love-supreme/
2,Kind of Blue,https://rateyourmusic.com/release/album/miles-davis/kind-of-blue/
3,In a Silent Way,https://rateyourmusic.com/release/album/miles-davis/in-a-silent-way/
4,Bitches Brew,https://rateyourmusic.com/release/album/miles-davis/bitches-brew/
5,Karma,https://rateyourmusic.com/release/album/pharoah-sanders/karma/
6,Hot Rats,https://rateyourmusic.com/release/album/frank-zappa/hot-rats/
7,Giant Steps,https://rateyourmusic.com/release/album/john-coltrane/giant-steps/
8,My Favorite Things,https://rateyourmusic.com/release/album/john-coltrane/my-favorite-things/
9,Mingus Ah Um,https://rateyourmusic.com/release/album/charles-mingus/mingus-ah-um-11/
10,Journey in Satchidananda,https://rateyourmusic.com/release/album/alice-coltrane-featuring-pharoah-sanders/journey-in-satchidananda/
11,Get Up With It,https://rateyourmusic.com/release/album/miles-davis/get-up-with-it/
12,Art Blakey and The Jazz Messengers [Moanin'],https://rateyourmusic.com/release/album/art-blakey-and-the-jazz-messengers/art-blakey-and-the-jazz-messengers-moanin/
13,Head Hunters,https://rateyourmusic.com/release/album/herbie-hancock/head-hunters/
14,Blue Train,https://rateyourmusic.com/release/album/john-coltrane/blue-train/
15,Let My Children Hear Music,https://rateyourmusic.com/release/album/charles-mingus/let-my-children-hear-music/
16,Blues & Roots,https://rateyourmusic.com/release/album/charlie-mingus/blues-and-roots/
17,Pastel Blues,https://rateyourmusic.com/release/album/nina-simone/pastel-blues/
18,Getz / Gilberto,https://rateyourmusic.com/release/album/stan-getz-and-joao-gilberto-featuring-antonio-carlos-jobim/getz-gilberto/
19,Ascension [Edition I],https://rateyourmusic.com/release/album/john-coltrane/ascension-edition-i/
20,The Shape of Jazz to Come,https://rateyourmusic.com/release/album/ornette-coleman/the-shape-of-jazz-to-come-4/
21,Lanquidity,https://rateyourmusic.com/release/album/sun-ra/lanquidity/
22,Out to Lunch,https://rateyourmusic.com/release/album/eric-dolphy/out-to-lunch/
23,Africa / Brass,https://rateyourmusic.com/release/album/the-john-coltrane-quartet/africa-brass/
24,The Inner Mounting Flame,https://rateyourmusic.com/release/album/the-mahavishnu-orchestra-with-john-mclaughlin/the-inner-mounting-flame/
25,Olé Coltrane,https://rateyourmusic.com/release/album/john-coltrane/ole-coltrane/
26,Black Unity,https://rateyourmusic.com/release/album/pharoah-sanders/black-unity/
27,On the Corner,https://rateyourmusic.com/release/album/miles-davis/on-the-corner/
28,Time Out,https://rateyourmusic.com/release/album/the-dave-brubeck-quartet/time-out/
29,Free for All,https://rateyourmusic.com/release/album/art-blakey-and-the-jazz-messengers/free-for-all/
30,Wild Is the Wind,https://rateyourmusic.com/release/album/nina-simone/wild-is-the-wind/
31,Mingus Mingus Mingus Mingus Mingus,https://rateyourmusic.com/release/album/charles-mingus/mingus-mingus-mingus-mingus-mingus/
32,Love in Us All,https://rateyourmusic.com/release/album/pharoah-sanders/love-in-us-all/
33,Saxophone Colossus,https://rateyourmusic.com/release/album/sonny-rollins/saxophone-colossus/
34,Promises,https://rateyourmusic.com/release/album/floating-points-pharoah-sanders-and-the-london-symphony-orchestra/promises/
35,渋星 (Shibuboshi),https://rateyourmusic.com/release/album/渋さ知らズ/渋星-shibuboshi/
36,De todas las flores,https://rateyourmusic.com/release/album/natalia-lafourcade/de-todas-las-flores/
37,Sleeping Beauty,https://rateyourmusic.com/release/album/sun-ra-and-his-arkestra/sleeping-beauty/
38,Third,https://rateyourmusic.com/release/album/soft-machine/third/
39,Somethin' Else,https://rateyourmusic.com/release/album/cannonball-adderley/somethin-else/
40,Sextant,https://rateyourmusic.com/release/album/herbie-hancock/sextant/
41,Deaf Dumb Blind (Summun bukmun umyun),https://rateyourmusic.com/release/album/pharoah-sanders/deaf-dumb-blind-summun-bukmun-umyun-2/
42,Astigmatic,https://rateyourmusic.com/release/album/komeda-quintet/astigmatic/
43,Meditations,https://rateyourmusic.com/release/album/john-coltrane/meditations/
44,Song for My Father (Cantiga para meu pai),https://rateyourmusic.com/release/album/the-horace-silver-quintet/song-for-my-father-cantiga-para-meu-pai/
45,Mosaic,https://rateyourmusic.com/release/album/art-blakey-and-the-jazz-messengers/mosaic/
46,Sun Ship,https://rateyourmusic.com/release/album/john-coltrane/sun-ship/
47,Duke Ellington's Far East Suite,https://rateyourmusic.com/release/album/duke-ellington/duke-ellingtons-far-east-suite/
48,Speak No Evil,https://rateyourmusic.com/release/album/wayne-shorter/speak-no-evil/
49,Ascension [Edition II],https://rateyourmusic.com/release/album/john-coltrane/ascension-edition-ii-2/
50,Sonny's Dream (Birth of the New Cool),https://rateyourmusic.com/release/album/the-sonny-criss-orchestra/sonnys-dream-birth-of-the-new-cool/
51,Ask the Ages,https://rateyourmusic.com/release/album/sonny-sharrock/ask-the-ages/
52,Monk's Music,https://rateyourmusic.com/release/album/thelonious-monk-septet/monks-music/
53,The Jazz Composer's Orchestra,https://rateyourmusic.com/release/album/the-jazz-composers-orchestra/the-jazz-composers-orchestra/
54,Empyrean Isles,https://rateyourmusic.com/release/album/herbie-hancock/empyrean-isles/
55,Ellington at Newport,https://rateyourmusic.com/release/album/duke-ellington/ellington-at-newport/
56,Idle Moments,https://rateyourmusic.com/release/album/grant-green/idle-moments/
57,"Ptah, the El Daoud",https://rateyourmusic.com/release/album/alice-coltrane/ptah-the-el-daoud/
58,Don Cherry,https://rateyourmusic.com/release/album/don-cherry/don-cherry/
59,Science Fiction,https://rateyourmusic.com/release/album/ornette-coleman/science-fiction/
60,Search for the New Land,https://rateyourmusic.com/release/album/lee-morgan/search-for-the-new-land/
61,The Real McCoy,https://rateyourmusic.com/release/album/mccoy-tyner/the-real-mccoy/
62,Willisau (Quartet) 1991,https://rateyourmusic.com/release/album/anthony-braxton/willisau-quartet-1991/
63,We Insist! Max Roach's Freedom Now Suite,https://rateyourmusic.com/release/album/max-roach/we-insist-max-roachs-freedom-now-suite/
64,Free Jazz,https://rateyourmusic.com/release/album/the-ornette-coleman-double-quartet/free-jazz/
65,"Mercy, Mercy, Mercy!",https://rateyourmusic.com/release/album/the-cannonball-adderley-quintet/mercy-mercy-mercy/
66,Monk's Dream,https://rateyourmusic.com/release/album/the-thelonious-monk-quartet/monks-dream/
67,Coin Coin Chapter One: Gens de couleur libres,https://rateyourmusic.com/release/album/matana-roberts/coin-coin-chapter-one-gens-de-couleur-libres/
68,Juju,https://rateyourmusic.com/release/album/wayne-shorter/juju/
69,Money Jungle,https://rateyourmusic.com/release/album/duke-ellington-charlie-mingus-and-max-roach/money-jungle/
70,Those Who Throw Objects at the Crocodiles Will Be Asked to Retrieve Them,https://rateyourmusic.com/release/album/bruno-pernadas/those-who-throw-objects-at-the-crocodiles-will-be-asked-to-retrieve-them/
71,Sketches of Spain,https://rateyourmusic.com/release/album/miles-davis/sketches-of-spain/
72,Maiden Voyage,https://rateyourmusic.com/release/album/herbie-hancock/maiden-voyage/
73,Knowledge of Self,https://rateyourmusic.com/release/album/billy-harper/knowledge-of-self/
74,The Sidewinder,https://rateyourmusic.com/release/album/lee-morgan/the-sidewinder/
75,The Grand Wazoo,https://rateyourmusic.com/release/album/the-mothers/the-grand-wazoo/
76,"Straight, No Chaser",https://rateyourmusic.com/release/album/thelonious-monk/straight-no-chaser/
77,Little Girl Blue,https://rateyourmusic.com/release/album/nina-simone/little-girl-blue/
78,It's Time,https://rateyourmusic.com/release/album/max-roach-and-his-chorus-and-orchestra/its-time/
79,Sahara,https://rateyourmusic.com/release/album/mccoy-tyner/sahara/
80,Crescent,https://rateyourmusic.com/release/album/john-coltrane-quartet/crescent/
81,Bronca Buenos Aires,https://rateyourmusic.com/release/album/jorge-lopez-ruiz/bronca-buenos-aires/
82,Machine Gun,https://rateyourmusic.com/release/album/the-peter-brotzmann-octet/machine-gun/
83,Brilliant Corners,https://rateyourmusic.com/release/album/thelonious-monk/brilliant-corners/
84,Evolution,https://rateyourmusic.com/release/album/grachan-moncur-iii/evolution/
85,The Blues and the Abstract Truth,https://rateyourmusic.com/release/album/oliver-nelson/the-blues-and-the-abstract-truth/
86,Adam's Apple,https://rateyourmusic.com/release/album/wayne-shorter/adams-apple/
87,Clifford Brown and Max Roach,https://rateyourmusic.com/release/album/clifford-brown-and-max-roach/clifford-brown-and-max-roach/
88,Study in Brown,https://rateyourmusic.com/release/album/clifford-brown-and-max-roach/study-in-brown/
89,You Must Believe in Spring,https://rateyourmusic.com/release/album/bill-evans/you-must-believe-in-spring/
90,Point of Departure,https://rateyourmusic.com/release/album/andrew-hill/point-of-departure/
91,Basra,https://rateyourmusic.com/release/album/pete-la-roca/basra/
92,Naked City,https://rateyourmusic.com/release/album/john-zorn/naked-city/
93,Black Woman,https://rateyourmusic.com/release/album/sonny-sharrock/black-woman/
94,Bridges,https://rateyourmusic.com/release/album/gil-scott-heron-and-brian-jackson/bridges/
95,The Elements,https://rateyourmusic.com/release/album/joe-henderson-featuring-alice-coltrane/the-elements/
96,Miles Smiles,https://rateyourmusic.com/release/album/miles-davis-quintet/miles-smiles/
97,A Night in Tunisia,https://rateyourmusic.com/release/album/art-blakey-and-the-jazz-messengers/a-night-in-tunisia/
98,Milestones,https://rateyourmusic.com/release/album/miles-davis/milestones/
99,Compulsion,https://rateyourmusic.com/release/album/andrew-hill/compulsion/
100,Indestructible,https://rateyourmusic.com/release/album/art-blakey-and-the-jazz-messengers/indestructible/
101,Izipho Zam (My Gifts),https://rateyourmusic.com/release/album/pharoah-sanders/izipho-zam-my-gifts/
102,One Flight Up,https://rateyourmusic.com/release/album/dexter-gordon/one-flight-up/
103,Pithecanthropus erectus,https://rateyourmusic.com/release/album/the-charlie-mingus-jazz-workshop/pithecanthropus-erectus/
104,Conference of the Birds,https://rateyourmusic.com/release/album/david-holland-quartet/conference-of-the-birds/
105,Sonny Side Up,https://rateyourmusic.com/release/album/dizzy-gillespie-sonny-stitt-sonny-rollins/sonny-side-up/
106,The Afro-Eurasian Eclipse,https://rateyourmusic.com/release/album/duke-ellington/the-afro-eurasian-eclipse/
107,¡Jazz Flamenco!,https://rateyourmusic.com/release/album/pedro-iturralde/_jazz-flamenco/
108,Nefertiti,https://rateyourmusic.com/release/album/miles-davis/nefertiti/
109,'Round About Midnight,https://rateyourmusic.com/release/album/miles-davis/round-about-midnight/
110,The Awakening,https://rateyourmusic.com/release/album/the-ahmad-jamal-trio/the-awakening/
111,Spiritual Unity,https://rateyourmusic.com/release/album/albert-ayler-trio/spiritual-unity/
112,"Rip, Rig and Panic",https://rateyourmusic.com/release/album/the-roland-kirk-quartet/rip-rig-and-panic/
113,Destination Out!,https://rateyourmusic.com/release/album/jackie-mclean/destination-out/
114,The Colours of Chloë,https://rateyourmusic.com/release/album/eberhard-weber/the-colours-of-chloe/
115,The Inflated Tear,https://rateyourmusic.com/release/album/roland-kirk/the-inflated-tear/
116,Electronic Sonata for Souls Loved by Nature,https://rateyourmusic.com/release/album/george-russell/electronic-sonata-for-souls-loved-by-nature/
117,Eastern Sounds,https://rateyourmusic.com/release/album/yusef-lateef/eastern-sounds/
118,Big Fun,https://rateyourmusic.com/release/album/miles-davis/big-fun/
119,Purple Sun,https://rateyourmusic.com/release/album/tomasz-stanko-quintet/purple-sun/
120,Chet Baker Sings,https://rateyourmusic.com/release/album/chet-baker/chet-baker-sings/
121,Sama Layuca,https://rateyourmusic.com/release/album/mccoy-tyner/sama-layuca/
122,Mode for Joe,https://rateyourmusic.com/release/album/joe-henderson/mode-for-joe/
123,Mark Hollis,https://rateyourmusic.com/release/album/mark-hollis/mark-hollis/
124,Night Dreamer,https://rateyourmusic.com/release/album/wayne-shorter/night-dreamer/
125,Scenery,https://rateyourmusic.com/release/album/福居良/scenery/
126,Casiopea,https://rateyourmusic.com/release/album/casiopea/casiopea/
127,Tijuana Moods,https://rateyourmusic.com/release/album/charlie-mingus/tijuana-moods/
128,Interstellar Space,https://rateyourmusic.com/release/album/john-coltrane/interstellar-space/
129,The Gigolo,https://rateyourmusic.com/release/album/lee-morgan/the-gigolo/
130,Lee Morgan,https://rateyourmusic.com/release/album/lee-morgan/lee-morgan/
131,Intents and Purposes: The Jazz Artistry of Bill Dixon,https://rateyourmusic.com/release/album/the-bill-dixon-orchestra/intents-and-purposes-the-jazz-artistry-of-bill-dixon/
132,Inner Urge,https://rateyourmusic.com/release/album/joe-henderson/inner-urge/
133,Out There,https://rateyourmusic.com/release/album/eric-dolphy/out-there/
134,Pharoah,https://rateyourmusic.com/release/album/pharoah-sanders/pharoah/
135,Soul Station,https://rateyourmusic.com/release/album/hank-mobley/soul-station/
136,Black Fire,https://rateyourmusic.com/release/album/andrew-hill/black-fire/
137,Ellington Uptown,https://rateyourmusic.com/release/album/duke-ellington-and-his-orchestra/ellington-uptown/
138,Realization,https://rateyourmusic.com/release/album/eddie-henderson/realization/
139,In Europe,https://rateyourmusic.com/release/album/billy-harper-quintet/in-europe/
140,Prepare Thyself to Deal With a Miracle,https://rateyourmusic.com/release/album/rahsaan-roland-kirk/prepare-thyself-to-deal-with-a-miracle/
141,Ella Fitzgerald Sings the Irving Berlin Song Book,https://rateyourmusic.com/release/album/ella-fitzgerald/ella-fitzgerald-sings-the-irving-berlin-song-book/
142,Universal Consciousness,https://rateyourmusic.com/release/album/alice-coltrane/universal-consciousness/
143,Cool Struttin',https://rateyourmusic.com/release/album/sonny-clark/cool-struttin/
144,"Members, Don't Git Weary",https://rateyourmusic.com/release/album/max-roach/members-dont-git-weary/
145,Thembi,https://rateyourmusic.com/release/album/pharoah-sanders/thembi/
146,Straight Life,https://rateyourmusic.com/release/album/freddie-hubbard/straight-life-4/
147,The John Coltrane Quartet Plays,https://rateyourmusic.com/release/album/the-john-coltrane-quartet/the-john-coltrane-quartet-plays/
148,"Sonny Rollins, Vol. 2",https://rateyourmusic.com/release/album/sonny-rollins/sonny-rollins-vol-2/
149,Panthalassa: The Music of Miles Davis 1969-1974,https://rateyourmusic.com/release/album/miles-davis/panthalassa-the-music-of-miles-davis-1969-1974/
150,Birds of Fire,https://rateyourmusic.com/release/album/mahavishnu-orchestra/birds-of-fire/
151,Ella Fitzgerald Sings the Cole Porter Song Book,https://rateyourmusic.com/release/album/ella-fitzgerald/ella-fitzgerald-sings-the-cole-porter-song-book/
152,Moondog,https://rateyourmusic.com/release/album/moondog/moondog-3/
153,Duke Ellington & John Coltrane,https://rateyourmusic.com/release/album/duke-ellington-john-coltrane/duke-ellington-and-john-coltrane/
154,Workin' With the Miles Davis Quintet,https://rateyourmusic.com/release/album/the-miles-davis-quintet/workin-with-the-miles-davis-quintet/
155,Right Now!,https://rateyourmusic.com/release/album/jackie-mclean/right-now/
156,The Incredible Jazz Guitar of Wes Montgomery,https://rateyourmusic.com/release/album/wes-montgomery/the-incredible-jazz-guitar-of-wes-montgomery/
157,Underground,https://rateyourmusic.com/release/album/thelonious-monk/underground/
158,I Put a Spell on You,https://rateyourmusic.com/release/album/nina-simone/i-put-a-spell-on-you/
159,Coltrane,https://rateyourmusic.com/release/album/the-john-coltrane-quartette/coltrane/
160,Sunset Mission,https://rateyourmusic.com/release/album/bohren-and-der-club-of-gore/sunset-mission/
161,Ella and Louis,https://rateyourmusic.com/release/album/ella-fitzgerald-and-louis-armstrong/ella-and-louis/
162,I Trawl the MEGAHERTZ,https://rateyourmusic.com/release/album/paddy-mcaloon/i-trawl-the-megahertz/
163,Contours,https://rateyourmusic.com/release/album/sam_rivers/contours/
164,Conquistador!,https://rateyourmusic.com/release/album/cecil-taylor/conquistador/
165,Black Saint,https://rateyourmusic.com/release/album/billy-harper/black-saint/
166,No Room for Squares,https://rateyourmusic.com/release/album/hank-mobley/no-room-for-squares/
167,At Basin Street,https://rateyourmusic.com/release/album/clifford-brown-and-max-roach/at-basin-street/
168,The Epic,https://rateyourmusic.com/release/album/kamasi-washington/the-epic/
169,Red Clay,https://rateyourmusic.com/release/album/freddie-hubbard/red-clay-4/
170,Mwandishi,https://rateyourmusic.com/release/album/herbie-hancock/mwandishi/
171,Extensions,https://rateyourmusic.com/release/album/mccoy-tyner/extensions/
172,The Cape Verdean Blues,https://rateyourmusic.com/release/album/the-horace-silver-quintet-plus-j-j-johnson/the-cape-verdean-blues/
173,Filles de Kilimanjaro,https://rateyourmusic.com/release/album/miles-davis/filles-de-kilimanjaro/
174,The Survivors' Suite,https://rateyourmusic.com/release/album/keith-jarrett/the-survivors-suite/
175,Iron Man,https://rateyourmusic.com/release/album/eric-dolphy/iron-man/
176,The Cooker,https://rateyourmusic.com/release/album/lee-morgan/the-cooker/
177,Expansions,https://rateyourmusic.com/release/album/mccoy-tyner/expansions/
178,Silent Feet,https://rateyourmusic.com/release/album/eberhard-weber-colours/silent-feet/
179,The Cecil Taylor Unit,https://rateyourmusic.com/release/album/cecil-taylor/the-cecil-taylor-unit/
180,Lucifer: Book of Angels Volume 10,https://rateyourmusic.com/release/album/bar-kokhba/lucifer-book-of-angels-volume-10/
181,New Orleans Suite,https://rateyourmusic.com/release/album/duke-ellington/new-orleans-suite/
182,Everybody Digs Bill Evans,https://rateyourmusic.com/release/album/bill-evans-trio/everybody-digs-bill-evans/
183,Crystals,https://rateyourmusic.com/release/album/sam-rivers/crystals/
184,Let Freedom Ring,https://rateyourmusic.com/release/album/jackie-mclean/let-freedom-ring/
185,The Clown,https://rateyourmusic.com/release/album/charles-mingus/the-clown/
186,Troupeau Bleu,https://rateyourmusic.com/release/album/cortex/troupeau-bleu/
187,Oh Yeah,https://rateyourmusic.com/release/album/charles-mingus/oh-yeah-4/
188,Seychelles,https://rateyourmusic.com/release/album/高中正義/seychelles/
189,Return to Forever,https://rateyourmusic.com/release/album/chick-corea/return-to-forever/
190,Dialogue,https://rateyourmusic.com/release/album/bobby-hutcherson/dialogue/
191,On the Beach,https://rateyourmusic.com/release/album/philip-cohran-and-the-artistic-heritage-ensemble/on-the-beach/
192,One Step Beyond,https://rateyourmusic.com/release/album/jackie-mclean/one-step-beyond/
193,Em som maior,https://rateyourmusic.com/release/album/sambrasa-trio/em-som-maior/
194,Moa Anbessa,https://rateyourmusic.com/release/album/getatchew-mekuria-and-the-ex-and-guests/moa-anbessa/
195,Transition,https://rateyourmusic.com/release/album/john-coltrane/transition/
196,Coisas,https://rateyourmusic.com/release/album/moacir-santos/coisas/
197,Inédito,https://rateyourmusic.com/release/album/antonio-carlos-jobim/inedito/
198,Portrait in Jazz,https://rateyourmusic.com/release/album/bill-evans-trio/portrait-in-jazz/
199,Crossings,https://rateyourmusic.com/release/album/herbie-hancock/crossings/
200,Judgment,https://rateyourmusic.com/release/album/andrew-hill/judgment/
201,Symbiosis,https://rateyourmusic.com/release/album/bill-evans/symbiosis/
202,Wede Harer Guzo,https://rateyourmusic.com/release/album/hailu-mergia-and-dahlak-band/wede-harer-guzo/
203,Escalator Over the Hill,https://rateyourmusic.com/release/album/carla-bley-paul-haines/escalator-over-the-hill/
204,The Individualism of Gil Evans,https://rateyourmusic.com/release/album/gil-evans/the-individualism-of-gil-evans/
205,"Ella Fitzgerald Sings the Duke Ellington Song Book, Vol. 1",https://rateyourmusic.com/release/album/ella-fitzgerald-with-duke-ellington-and-his-orchestra/ella-fitzgerald-sings-the-duke-ellington-song-book-vol-1/
206,The Quest,https://rateyourmusic.com/release/album/mal-waldron-with-eric-dolphy-and-booker-ervin/the-quest/
207,Capra Black,https://rateyourmusic.com/release/album/billy-harper/capra-black-1/
208,Midnight Blue,https://rateyourmusic.com/release/album/kenny-burrell/midnight-blue/
209,...and His Mother Called Him Bill,https://rateyourmusic.com/release/album/duke-ellington-and-his-orchestra/_and-his-mother-called-him-bill/
210,The Dealer,https://rateyourmusic.com/release/album/chico-hamilton-introducing-larry-coryell/the-dealer/
211,Hanging Gardens,https://rateyourmusic.com/release/album/the-necks/hanging-gardens/
212,The All Seeing Eye,https://rateyourmusic.com/release/album/wayne-shorter/the-all-seeing-eye/
213,Concierto,https://rateyourmusic.com/release/album/jim-hall/concierto/
214,The Circle Maker,https://rateyourmusic.com/release/album/john-zorn/the-circle-maker/
215,Small Change,https://rateyourmusic.com/release/album/tom-waits/small-change/
216,Frank Sinatra Sings for Only the Lonely,https://rateyourmusic.com/release/album/frank-sinatra/frank-sinatra-sings-for-only-the-lonely/
217,Symphony for Improvisers,https://rateyourmusic.com/release/album/don-cherry/symphony-for-improvisers/
218,Undercurrent,https://rateyourmusic.com/release/album/bill-evans-jim-hall/undercurrent/
219,Lady Sings the Blues,https://rateyourmusic.com/release/album/billie-holiday/lady-sings-the-blues/
220,King of Kings,https://rateyourmusic.com/release/album/the-pyramids/king-of-kings-1/
221,The Freedom Book,https://rateyourmusic.com/release/album/booker-ervin/the-freedom-book/
222,Go,https://rateyourmusic.com/release/album/dexter-gordon/go/
223,Chapter One: Latin America,https://rateyourmusic.com/release/album/gato-barbieri/chapter-one-latin-america/
224,Thrust,https://rateyourmusic.com/release/album/herbie-hancock/thrust/
225,Liberation Music Orchestra,https://rateyourmusic.com/release/album/charlie-haden/liberation-music-orchestra/
226,Our Man in Paris,https://rateyourmusic.com/release/album/dexter-gordon/our-man-in-paris/
227,The Bridge,https://rateyourmusic.com/release/album/sonny-rollins/the-bridge/
228,For Musicians Only,https://rateyourmusic.com/release/album/stan-getz-dizzy-gillespie-sonny-stitt/for-musicians-only/
229,Songs for Distingué Lovers,https://rateyourmusic.com/release/album/billie-holiday/songs-for-distingue-lovers/
230,Alice,https://rateyourmusic.com/release/album/tom-waits/alice/
231,Winobranie,https://rateyourmusic.com/release/album/the-zbigniew-namyslowski-quintet/winobranie/
232,የካተት (Yèkatit: Ethio Jazz),https://rateyourmusic.com/release/album/mulatu-astatke-featuring-fekade-amde-maskal/የካተት-yekatit-ethio-jazz/
233,Ethiopian Knights,https://rateyourmusic.com/release/album/donald-byrd/ethiopian-knights/
234,Katanga!,https://rateyourmusic.com/release/album/curtis-amy-dupree-bolton/katanga/
235,The Big Beat,https://rateyourmusic.com/release/album/art-blakey-and-the-jazz-messengers/the-big-beat/
236,Roll Call,https://rateyourmusic.com/release/album/hank-mobley/roll-call/
237,Out of the Cool,https://rateyourmusic.com/release/album/the-gil-evans-orchestra/out-of-the-cool/
238,Criss-Cross,https://rateyourmusic.com/release/album/thelonious-monk/criss-cross/
239,Explorations,https://rateyourmusic.com/release/album/bill-evans-trio/explorations/
240,The Call,https://rateyourmusic.com/release/album/horace-tapscott-conducting-the-pan-afrikan-peoples-arkestra/the-call/
241,Kulu Sé Mama,https://rateyourmusic.com/release/album/john-coltrane/kulu-se-mama/
242,"Now He Sings, Now He Sobs",https://rateyourmusic.com/release/album/chick-corea/now-he-sings-now-he-sobs/
243,The Sermon,https://rateyourmusic.com/release/album/jimmy-smith/the-sermon/
244,The Rainbow Goblins,https://rateyourmusic.com/release/album/高中正義/the-rainbow-goblins/
245,Dogon A.D.,https://rateyourmusic.com/release/album/julius-hemphill/dogon-a_d/
246,Glass Bead Games,https://rateyourmusic.com/release/album/clifford-jordan-quartet/glass-bead-games/
247,Coltrane's Sound,https://rateyourmusic.com/release/album/john-coltrane/coltranes-sound/
248,Change of the Century,https://rateyourmusic.com/release/album/ornette-coleman/change-of-the-century-3/
249,Spectrum,https://rateyourmusic.com/release/album/billy-cobham/spectrum/
250,Flying Beagle,https://rateyourmusic.com/release/album/himiko-kikuchi/flying-beagle/
