,Unnamed: 0,title,link,0
0,0,The Black Saint and the Sinner Lady,https://rateyourmusic.com/release/album/mingus/the-black-saint-and-the-sinner-lady/,4.0
1,1,A Love Supreme,https://rateyourmusic.com/release/album/john-coltrane/a-love-supreme/,3.0
2,2,Kind of Blue,https://rateyourmusic.com/release/album/miles-davis/kind-of-blue/,4.0
3,3,In a Silent Way,https://rateyourmusic.com/release/album/miles-davis/in-a-silent-way/,2.0
4,4,Bitches Brew,https://rateyourmusic.com/release/album/miles-davis/bitches-brew/,6.0
5,5,Karma,https://rateyourmusic.com/release/album/pharoah-sanders/karma/,3.0
6,6,Hot Rats,https://rateyourmusic.com/release/album/frank-zappa/hot-rats/,6.0
7,7,Giant Steps,https://rateyourmusic.com/release/album/john-coltrane/giant-steps/,7.0
8,8,My Favorite Things,https://rateyourmusic.com/release/album/john-coltrane/my-favorite-things/,4.0
9,9,Mingus Ah Um,https://rateyourmusic.com/release/album/charles-mingus/mingus-ah-um-11/,8.0
10,10,Journey in Satchidananda,https://rateyourmusic.com/release/album/alice-coltrane-featuring-pharoah-sanders/journey-in-satchidananda/,5.0
11,11,Get Up With It,https://rateyourmusic.com/release/album/miles-davis/get-up-with-it/,8.0
12,12,Art Blakey and The Jazz Messengers [Moanin'],https://rateyourmusic.com/release/album/art-blakey-and-the-jazz-messengers/art-blakey-and-the-jazz-messengers-moanin/,8.0
13,13,Head Hunters,https://rateyourmusic.com/release/album/herbie-hancock/head-hunters/,4.0
14,14,Blue Train,https://rateyourmusic.com/release/album/john-coltrane/blue-train/,4.0
15,15,Let My Children Hear Music,https://rateyourmusic.com/release/album/charles-mingus/let-my-children-hear-music/,6.0
16,16,Blues & Roots,https://rateyourmusic.com/release/album/charlie-mingus/blues-and-roots/,6.0
17,17,Pastel Blues,https://rateyourmusic.com/release/album/nina-simone/pastel-blues/,9.0
18,18,Getz / Gilberto,https://rateyourmusic.com/release/album/stan-getz-and-joao-gilberto-featuring-antonio-carlos-jobim/getz-gilberto/,8.0
19,19,Ascension [Edition I],https://rateyourmusic.com/release/album/john-coltrane/ascension-edition-i/,2.0
20,20,The Shape of Jazz to Come,https://rateyourmusic.com/release/album/ornette-coleman/the-shape-of-jazz-to-come-4/,6.0
21,21,Lanquidity,https://rateyourmusic.com/release/album/sun-ra/lanquidity/,5.0
22,22,Out to Lunch,https://rateyourmusic.com/release/album/eric-dolphy/out-to-lunch/,4.0
23,23,Africa / Brass,https://rateyourmusic.com/release/album/the-john-coltrane-quartet/africa-brass/,3.0
24,24,The Inner Mounting Flame,https://rateyourmusic.com/release/album/the-mahavishnu-orchestra-with-john-mclaughlin/the-inner-mounting-flame/,8.0
25,25,Olé Coltrane,https://rateyourmusic.com/release/album/john-coltrane/ole-coltrane/,3.0
26,26,Black Unity,https://rateyourmusic.com/release/album/pharoah-sanders/black-unity/,2.0
27,27,On the Corner,https://rateyourmusic.com/release/album/miles-davis/on-the-corner/,8.0
28,28,Time Out,https://rateyourmusic.com/release/album/the-dave-brubeck-quartet/time-out/,6.0
29,29,Free for All,https://rateyourmusic.com/release/album/art-blakey-and-the-jazz-messengers/free-for-all/,3.0
30,30,Wild Is the Wind,https://rateyourmusic.com/release/album/nina-simone/wild-is-the-wind/,11.0
31,31,Mingus Mingus Mingus Mingus Mingus,https://rateyourmusic.com/release/album/charles-mingus/mingus-mingus-mingus-mingus-mingus/,7.0
32,32,Love in Us All,https://rateyourmusic.com/release/album/pharoah-sanders/love-in-us-all/,2.0
33,33,Saxophone Colossus,https://rateyourmusic.com/release/album/sonny-rollins/saxophone-colossus/,4.0
