,title,type,link
0,Good Rocking Tonight / Lolly Pop Mama,Single,https://rateyourmusic.com/release/single/roy-brown/good-rocking-tonight-lolly-pop-mama/
1,Good Rockin' Tonight / Good Morning Mr. Blues,Single,https://rateyourmusic.com/release/single/wynonie_harris/good_rockin_tonight___good_morning_mr__blues/
2,"Drinkin' Wine, Spo-Dee-O-Dee / Blues Mixture (I'd Rather Drink Muddy Water)",Single,https://rateyourmusic.com/release/single/stick-mcghee-and-his-buddies/drinkin-wine-spo-dee-o-dee-blues-mixture-id-rather-drink-muddy-water/
3,Hucklebuck Daddy / Sugar Baby,Single,https://rateyourmusic.com/release/single/jimmie-preston-and-his-prestonians/hucklebuck-daddy-sugar-baby/
4,Back Home Blues / Rock Awhile,Single,https://rateyourmusic.com/release/single/goree-carter-and-his-hepcats/back-home-blues-rock-awhile/
5,Rock the Joint / Drinking Woman,Single,https://rateyourmusic.com/release/single/jimmy-preston-and-his-prestonians/rock-the-joint-drinking-woman/
6,The Fat Man / Detroit City Blues,Single,https://rateyourmusic.com/release/single/fats-domino/the-fat-man-detroit-city-blues/
7,Let's Hang Out Tonite / Potato Salad,Single,https://rateyourmusic.com/release/single/jimmy_preston/lets_hang_out_tonite___potato_salad/
8,Jump and Shout / No Good Man of Mine,Single,https://rateyourmusic.com/release/single/erline_harris/jump_and_shout___no_good_man_of_mine/
9,"Breaking Up the House / If You Don't Love Me, Tell Me So",Single,https://rateyourmusic.com/release/single/tiny-bradshaw/breaking-up-the-house-if-you-dont-love-me-tell-me-so/
10,Rock the Joint / Leave Married Women Alone,Single,https://rateyourmusic.com/release/single/jimmy-cavallo-and-his-house-rockers/rock-the-joint-leave-married-women-alone/
11,"Rocket ""88"" / Come Back Where You Belong",Single,https://rateyourmusic.com/release/single/jackie-brenston-and-his-delta-cats/rocket-88-come-back-where-you-belong/
12,"Rocket ""88"" / Tearstains on My Heart",Single,https://rateyourmusic.com/release/single/bill-haley-and-the-saddlemen/rocket-88-tearstains-on-my-heart/
13,Icy Heart / Rock the Joint,Single,https://rateyourmusic.com/release/single/bill-haley-with-the-saddlemen/icy-heart-rock-the-joint/
14,Stop Beatin' Round the Mulberry Bush / Real Rock Drive,Single,https://rateyourmusic.com/release/single/bill-haley-with-haleys-comets/stop-beatin-round-the-mulberry-bush-real-rock-drive/
15,Hangover Blues / Why Not Confess,Single,https://rateyourmusic.com/release/single/the-maddox-brothers-and-rose/hangover-blues-why-not-confess/
